[IMATEC] ¿Una potencia física de 0 dBm equivale exactamente a 1 mW?	<b>Verdadero (V)</b><br><br><i>Verdadero. 10 * log10(1 mW / 1 mW) = 0 dBm.</i>
[DE] La corriente inversa de saturación Is de un diodo de silicio es insensible a las variaciones de temperatura.	<b>Falso (F)</b><br><br><i>Falso. Is se duplica aproximadamente cada 5 a 10 grados Celsius debido a la generación térmica exponencial ni^2(T).</i>
[DE] ¿El efecto Early en un transistor BJT representa la modulación de la anchura efectiva de la base con la tensión Vce?	<b>Verdadero (V)</b><br><br><i>Verdadero. Modifica ligeramente la pendiente de Ic en la zona activa.</i>
[DE] ¿La capacidad de la zona de carga espacial en una unión polarizada en inversa depende del voltaje aplicado?	<b>Verdadero (V)</b><br><br><i>Verdadero. Cj = Cj0 / (1 - VA/Vbi)^m; actúa como condensador variable por tensión (varicap).</i>
[DE] En un MOSFET en corte (subumbral ideal), la corriente de drenador es infinita.	<b>Falso (F)</b><br><br><i>Falso. Es prácticamente nula (del orden de pA a nA).</i>
[DE] ¿El parámetro de modulación de longitud de canal lambda introduce una conductancia de salida finita ro en el MOSFET en saturación?	<b>Verdadero (V)</b><br><br><i>Verdadero. ro = 1 / (lambda * Id).</i>
[DE] ¿En un diodo Zener el mecanismo de ruptura a tensiones bajas (< 5V) está dominado por el efecto túnel cuántico?	<b>Verdadero (V)</b><br><br><i>Verdadero. A tensiones mayores predomina la ruptura por ionización por avalancha.</i>
[DD] ¿El mapa de Karnaugh de 4 variables agrupa minterms adyacentes que difieren en exactamente 1 solo bit (código Gray)?	<b>Verdadero (V)</b><br><br><i>Verdadero. La adyacencia espacial refleja la adyacencia lógica para simplificar A + not(A) = 1.</i>
[DD] ¿En una máquina de estados finitos (FSM) tipo Moore, las salidas dependen exclusivamente del estado actual?	<b>Verdadero (V)</b><br><br><i>Verdadero. A diferencia del modelo Mealy donde las salidas dependen del estado y de las entradas presentes.</i>
[DD] El tiempo de setup (t_setup) es el tiempo que debe mantenerse estable la entrada de datos después del flanco activo de reloj.	<b>Falso (F)</b><br><br><i>Falso. Ese es el tiempo de hold (t_hold); el tiempo de setup es antes del flanco activo de reloj.</i>
[DD] ¿Un multiplexor de 2^N entradas de datos requiere exactamente N líneas de selección?	<b>Verdadero (V)</b><br><br><i>Verdadero. Las N líneas direccionan unívocamente una de las 2^N entradas.</i>
[DD] ¿Los riesgos lógicos estáticos (hazards) pueden eliminarse añadiendo términos producto redundantes en la suma de productos?	<b>Verdadero (V)</b><br><br><i>Verdadero. Cubren las transiciones entre lazos adyacentes en el mapa de Karnaugh.</i>
[DD] Un latch tipo D con entrada de habilitación transparente es disparado exclusivamente por flanco de reloj.	<b>Falso (F)</b><br><br><i>Falso. Los latches son sensibles por nivel (transparentes mientras enable = 1); los biestables flip-flops son disparados por flanco.</i>
[DD] ¿La metaestabilidad en sistemas síncronos puede ocurrir si se violan los tiempos de setup o hold en un biestable?	<b>Verdadero (V)</b><br><br><i>Verdadero. La salida puede oscilar o quedar en un valor intermedio indeterminado durante un tiempo no acotado.</i>
[DD] ¿En VHDL, la sentencia 'process(clk)' con 'rising_edge(clk)' infiere almacenamiento síncrono en registros?	<b>Verdadero (V)</b><br><br><i>Verdadero. Estructura estándar de síntesis de biestables flip-flop.</i>
[DD] Una puerta XOR con entradas A y B devuelve '1' si y solo si ambas entradas valen '1'.	<b>Falso (F)</b><br><br><i>Falso. Esa es una puerta AND; la XOR devuelve '1' si las entradas son distintas (uno exclusivamente).</i>
[DD] ¿El sumador Ripple-Carry tiene un retardo proporcional al número de bits N debido a la propagación del acarreo?	<b>Verdadero (V)</b><br><br><i>Verdadero. t_delay = N * t_carry; para reducirlo se utilizan sumadores Carry-Lookahead.</i>
[DD] ¿El complemento a dos permite representar números enteros con signo facilitando sumas y restas con el mismo hardware?	<b>Verdadero (V)</b><br><br><i>Verdadero. La resta A - B se computa directamente como A + (~B + 1).</i>
[DD] ¿La simplificación booleana A + A*B = A se conoce como la ley de absorción?	<b>Verdadero (V)</b><br><br><i>Verdadero. A*(1 + B) = A*1 = A.</i>
[EAFO] ¿Cuando una carga está perfectamente adaptada a una línea (ZL = Z0), el coeficiente de reflexión Gamma es exactamente cero?	<b>Verdadero (V)</b><br><br><i>Verdadero. No hay onda reflejada; toda la potencia incidente se transmite a la carga.</i>
[EAFO] ¿En una línea en cortocircuito (ZL = 0), el módulo del coeficiente de reflexión es |Gamma| = 1 con fase de 180 grados?	<b>Verdadero (V)</b><br><br><i>Verdadero. Gamma = -1 = 1 /_ 180.</i>
[EAFO] La Relación de Onda Estacionaria (VSWR) de una carga adaptada es 0.	<b>Falso (F)</b><br><br><i>Falso. La ROE ideal es 1 (VSWR = 1). Puede oscilar entre 1 e infinito.</i>
[EAFO] ¿La reflexión interna total en la interfaz núcleo-cubierta de una fibra óptica exige que n_core > n_clad?	<b>Verdadero (V)</b><br><br><i>Verdadero. La luz debe viajar desde el medio más denso hacia el menos denso con ángulo superior al crítico.</i>
[EAFO] ¿Una fibra óptica opera en régimen monomodo estricto si su parámetro de frecuencia normalizada satisface V < 2.405?	<b>Verdadero (V)</b><br><br><i>Verdadero. 2.4048 es el primer cero de la función de Bessel J0.</i>
[EAFO] En el modo fundamental TE10 de una guía de onda rectangular, la longitud de onda de corte es lambda_c = 2*a.	<b>Verdadero (V)</b><br><br><i>Verdadero. 'a' es la anchura mayor de la guía rectangular.</i>
[EAFO] Las guías de ondas metálicas cerradas huecas pueden propagar modos TEM a frecuencias intermedias.	<b>Falso (F)</b><br><br><i>Falso. Un modo TEM requiere al menos dos conductores aislados (como el cable coaxial o bifilar).</i>
[EAFO] ¿La Carta de Smith es un diagrama polar del coeficiente de reflexión Gamma mapeado sobre el plano de impedancias normalizadas?	<b>Verdadero (V)</b><br><br><i>Verdadero. Transforma circunferencias de resistencia y reactancia constantes en el círculo unitario |Gamma| <= 1.</i>
[EAFO] ¿La apertura numérica (NA) cuantifica la capacidad angular de captación de luz de una fibra óptica?	<b>Verdadero (V)</b><br><br><i>Verdadero. NA = sin(theta_max) = sqrt(n1^2 - n2^2).</i>
[EAFO] La atenuación mínima en fibras ópticas estándar de sílice monomodo ocurre a una longitud de onda cercana a 850 nm.	<b>Falso (F)</b><br><br><i>Falso. La tercera ventana óptica a 1550 nm ofrece la atenuación mínima (approx 0.2 dB/km).</i>
[EAFO] ¿Un transformador de cuarto de onda con impedancia Z_t = sqrt(Z0 * ZL) adapta una carga puramente resistiva ZL a una línea Z0?	<b>Verdadero (V)</b><br><br><i>Verdadero. Zin = Z_t^2 / ZL = Z0.</i>
[EAFO] ¿La dispersión cromática en fibras ópticas provoca el ensanchamiento temporal de los pulsos luminosos reduciendo la tasa binaria máxima?	<b>Verdadero (V)</b><br><br><i>Verdadero. Debido a la dependencia del índice de refracción con la longitud de onda (dispersión del material y de guía).</i>
[SST] ¿Un sistema LTI continuo es causal y estable BIBO si y solo si todos los polos de su función de transferencia H(s) se ubican estrictamente en el semiplano izquierdo Re(s) < 0?	<b>Verdadero (V)</b><br><br><i>Verdadero. Garantiza que la respuesta impulsional decaiga exponencialmente a cero.</i>
[SST] ¿El teorema de Nyquist exige muestrear a una frecuencia estrictamente mayor que el doble del ancho de banda máximo para evitar aliasing?	<b>Verdadero (V)</b><br><br><i>Verdadero. fs > 2*fmax.</i>
[SST] La convolución en el dominio temporal equivale a la convolución en el dominio frecuencial de Fourier.	<b>Falso (F)</b><br><br><i>Falso. Equivale a la multiplicación punto a punto Y(w) = X(w) * H(w).</i>
[SST] ¿En un sistema LTI discreto causal, los polos de H(z) deben situarse dentro del círculo unidad (|z| < 1) para garantizar estabilidad?	<b>Verdadero (V)</b><br><br><i>Verdadero. La región de convergencia (ROC) debe abarcar la circunferencia unidad |z| = 1.</i>
[SST] ¿La transformada discreta de Fourier de N puntos (DFT) computada mediante el algoritmo FFT tiene una complejidad O(N log2 N)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Gran mejora frente al cálculo directo O(N^2).</i>
[SST] La respuesta impulsional h(t) de un sistema estático sin memoria es proporcional a la función escalón unitario u(t).	<b>Falso (F)</b><br><br><i>Falso. Es proporcional a un impulso delta de Dirac K*delta(t).</i>
[SST] ¿Un sistema es invariante en el tiempo si un retardo en la entrada x(t - T) produce idéntico retardo en la salida y(t - T)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Propiedad fundamental de invariancia temporal.</i>
[SST] ¿La respuesta al escalón de un sistema LTI es la integral en el tiempo de su respuesta impulsional h(t)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Dado que el escalón es la integral del impulso de Dirac.</i>
[SST] El aliasing espectral se puede corregir digitalmente después del convertidor ADC sin pérdida de información.	<b>Falso (F)</b><br><br><i>Falso. El aliasing solapa espectros irreversiblemente; debe eliminarse antes del muestreo con un filtro antialiasing analógico.</i>
[SST] ¿La autocorrelación de una señal continua en el origen R_xx(0) equivale a la energía total de la señal?	<b>Verdadero (V)</b><br><br><i>Verdadero. R_xx(0) = integral(|x(t)|^2 dt) = E_total.</i>
[SST] ¿Un filtro de fase lineal pura introduce un retardo de grupo constante en todas las frecuencias de la banda de paso evitando la distorsión de fase?	<b>Verdadero (V)</b><br><br><i>Verdadero. Mantiene intacta la forma de onda de la señal compuesta.</i>
[SST] El producto de dos funciones periódicas siempre da como resultado una función periódica para cualquier relación de periodos.	<b>Falso (F)</b><br><br><i>Falso. Solo es periódica si el cociente de sus periodos o frecuencias es un número racional.</i>
[PPE] ¿El Teorema de Wiener-Khinchin establece que la densidad espectral de potencia (PSD) de un proceso WSS es la transformada de Fourier de su autocorrelación?	<b>Verdadero (V)</b><br><br><i>Verdadero. Sxx(f) = F{Rxx(tau)}.</i>
[PPE] ¿Si dos variables aleatorias son independientes, su covarianza y su correlación son estrictamente cero?	<b>Verdadero (V)</b><br><br><i>Verdadero. La independencia implica incorrelación.</i>
[PPE] La función de autocorrelación R_xx(tau) de un proceso WSS alcanza su máximo valor en el infinito.	<b>Falso (F)</b><br><br><i>Falso. Su valor máximo absoluto se encuentra siempre en el origen: |R_xx(tau)| <= R_xx(0).</i>
[PPE] ¿El Teorema Central del Límite establece que la suma de un gran número de variables independientes e idénticamente distribuidas tiende asintóticamente a una distribución Gaussiana?	<b>Verdadero (V)</b><br><br><i>Verdadero. Pilar fundamental de la teoría de la probabilidad y del análisis de ruido.</i>
[PPE] La varianza de una variable aleatoria puede tomar valores negativos si la media es negativa.	<b>Falso (F)</b><br><br><i>Falso. Por definición Var(X) = E[(X - mu)^2] >= 0; es siempre no negativa.</i>
[PPE] ¿Cuando un proceso WSS con densidad Sxx(f) pasa por un filtro LTI con respuesta H(f), la densidad espectral de salida es Syy(f) = |H(f)|^2 * Sxx(f)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Relación espectral fundamental para sistemas lineales.</i>
[PPE] ¿La densidad espectral de un ruido blanco ideal es constante e idéntica en todas las frecuencias (S_w(f) = N0 / 2)?	<b>Verdadero (V)</b><br><br><i>Verdadero. De ahí el nombre 'blanco', por analogía con la luz blanca que contiene todas las frecuencias con igual energía.</i>
[PPE] La función de distribución acumulada F_X(x) = P(X <= x) es siempre una función monótona no decreciente que varía entre 0 y 1.	<b>Verdadero (V)</b><br><br><i>Verdadero. Propiedad axiomática de toda variable aleatoria.</i>
[PPE] ¿Para dos eventos independientes A y B, la probabilidad de su intersección es P(A y B) = P(A) * P(B)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Definición formal de independencia probabilística.</i>
[PPE] Un proceso estocástico ergódico en la media tiene un promedio temporal diferente a su esperanza estadística de conjunto.	<b>Falso (F)</b><br><br><i>Falso. En un proceso ergódico, el promedio temporal sobre una realización coincide con el promedio estadístico de conjunto.</i>
[PPE] ¿La integral de menos infinito a más infinito de una función de densidad de probabilidad (PDF) es siempre exactamente 1?	<b>Verdadero (V)</b><br><br><i>Verdadero. Condición de normalización del espacio de probabilidad.</i>
[PPE] ¿El coeficiente de correlación de Pearson rho_XY está rigurosamente acotado en el intervalo [-1, +1]?	<b>Verdadero (V)</b><br><br><i>Verdadero. Desigualdad de Cauchy-Schwarz.</i>
[CA] ¿El efecto Miller multiplica la capacidad parásita entre entrada y salida por un factor aproximadamente igual a 1 + |Av|?	<b>Verdadero (V)</b><br><br><i>Verdadero. Reduce significativamente la frecuencia de corte superior en etapas inversoras de alta ganancia.</i>
[CA] ¿Una etapa seguidora de emisor (o fuente) presenta una ganancia de tensión cercana a la unidad (Av approx 1) y una baja impedancia de salida?	<b>Verdadero (V)</b><br><br><i>Verdadero. Se emplea comúnmente como etapa de acoplo (buffer).</i>
[CA] La distorsión por cruce por cero (crossover distortion) es típica de los amplificadores de salida en Clase A.	<b>Falso (F)</b><br><br><i>Falso. Es característica de la Clase B pura; se corrige mediante una pequeña polarización en Clase AB.</i>
[CA] ¿El par diferencial amplifica la diferencia entre sus dos entradas mientras rechaza las variaciones en modo común?	<b>Verdadero (V)</b><br><br><i>Verdadero. Caracterizado por una alta CMRR.</i>
[CA] ¿Un margen de fase de al menos 45 a 60 grados garantiza un comportamiento estable con sobreoscilación moderada en bucle cerrado?	<b>Verdadero (V)</b><br><br><i>Verdadero. Criterio de estabilidad y amortiguamiento estándar en diseño analógico.</i>
[CA] ¿La técnica de compensación por polo dominante de Miller en un op-amp consiste en intercalar un condensador Cc entre la entrada y salida de la segunda etapa?	<b>Verdadero (V)</b><br><br><i>Verdadero. Separa los polos (pole splitting) asegurando que la ganancia caiga por debajo de 0 dB antes del segundo polo.</i>
[CA] La impedancia de salida de una etapa en fuente común con carga de espejo de corriente cascode es extremadamente baja.	<b>Falso (F)</b><br><br><i>Falso. El cascode incrementa drásticamente la resistencia de salida por un factor de gm*ro, logrando altísimas ganancias.</i>
[CA] ¿La realimentación negativa reduce la sensibilidad a las variaciones térmicas y tecnológicas de los componentes?	<b>Verdadero (V)</b><br><br><i>Verdadero. La ganancia en bucle cerrado queda fijada por la red pasiva de realimentación: Af = 1 / beta.</i>
[CA] ¿El Slew Rate (SR) de un amplificador operacional define la máxima velocidad de variación temporal de la tensión de salida (dV/dt)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Limitado por la corriente máxima de la etapa diferencial para cargar el condensador de compensación Cc.</i>
[CA] El rendimiento energético teórico máximo de una etapa amplificadora en Clase A con acoplo resistivo es del 78.5%.	<b>Falso (F)</b><br><br><i>Falso. El máximo en Clase A resistiva es solo del 25% (o 50% con transformador); el 78.5% corresponde a Clase B ideal.</i>
[CA] ¿La resistencia de entrada de un amplificador MOSFET ideal en continua es prácticamente infinita debido al óxido de puerta?	<b>Verdadero (V)</b><br><br><i>Verdadero. Rin > 10^12 ohms gracias al dieléctrico aislante de SiO2/high-k.</i>
[CA] ¿Un espejo de corriente proporciona una fuente de corriente de polarización constante con muy alta impedancia equivalente?	<b>Verdadero (V)</b><br><br><i>Verdadero. Copia la corriente de referencia en ramas secundarias de amplificación.</i>
[EMB] ¿El controlador de interrupciones NVIC en arquitecturas ARM Cortex-M soporta anidamiento de interrupciones por niveles de prioridad?	<b>Verdadero (V)</b><br><br><i>Verdadero. Una interrupción de mayor prioridad desaloja a una de menor prioridad en ejecución.</i>
[EMB] ¿El protocolo de comunicación I2C requiere resistencias de pull-up externas en las líneas SDA y SCL porque sus salidas son de colector/drenador abierto?	<b>Verdadero (V)</b><br><br><i>Verdadero. Permite la conexión cableada en 'wired-AND' y evita colisiones por contención.</i>
[EMB] El protocolo SPI requiere direccionamiento explícito por software de 7 bits para seleccionar cada esclavo.	<b>Falso (F)</b><br><br><i>Falso. SPI utiliza líneas físicas dedicadas de selección de chip (Chip Select / SS). El direccionamiento por 7 bits es de I2C.</i>
[EMB] ¿El controlador DMA permite transferir bloques de datos entre periféricos y la memoria RAM sin intervención de la CPU?	<b>Verdadero (V)</b><br><br><i>Verdadero. Libera a la CPU de bucles continuos de copia reduciendo consumo y latencia.</i>
[EMB] ¿Una variable compartida entre la rutina de interrupción (ISR) y el bucle principal de control debe declararse con el cualificador 'volatile'?	<b>Verdadero (V)</b><br><br><i>Verdadero. Evita que el compilador optimice o cachee su lectura en un registro interno de la CPU.</i>
[EMB] La comunicación UART es un protocolo serie síncrono que transmite una línea de reloj compartida entre transmisor y receptor.	<b>Falso (F)</b><br><br><i>Falso. Es asíncrono (Universal Asynchronous Receiver-Transmitter); se sincroniza mediante bits de start y stop y un baud rate acordado.</i>
[EMB] ¿Un temporizador configurado con prescaler PSC divide la frecuencia del reloj maestro por el factor PSC + 1?	<b>Verdadero (V)</b><br><br><i>Verdadero. El contador de prescaler cuenta de 0 a PSC.</i>
[EMB] ¿El convertidor analógico-digital (ADC) de aproximaciones sucesivas (SAR) requiere N ciclos de reloj para una conversión de N bits?	<b>Verdadero (V)</b><br><br><i>Verdadero. Resuelve un bit por ciclo mediante un comparador y un DAC interno.</i>
[EMB] En el protocolo I2C, la condición de parada (STOP) se genera con una transición de nivel alto a bajo en SDA mientras SCL está en alto.	<b>Falso (F)</b><br><br><i>Falso. La condición STOP es una transición de bajo a alto en SDA con SCL en alto (la de alto a bajo es la condición de START).</i>
[EMB] ¿El temporizador Watchdog (WDT) restablece el microcontrolador si el software queda bloqueado y no refresca el contador periódicamente?	<b>Verdadero (V)</b><br><br><i>Verdadero. Mecanismo de seguridad crítico contra bloqueos de software.</i>
[EMB] ¿En los modos de suspensión de muy bajo consumo (Deep Sleep/Standby), se desactivan osciladores y reguladores no esenciales?	<b>Verdadero (V)</b><br><br><i>Verdadero. Permite operar dispositivos IoT a batería durante años.</i>
[EMB] ¿El bit de paridad en una trama UART permite detectar errores de bit único en la recepción de un carácter?	<b>Verdadero (V)</b><br><br><i>Verdadero. Verifica si el número total de unos coincide con la paridad par o impar configurada.</i>
[ICAF] ¿El parámetro S11 representa el coeficiente de reflexión visto desde el puerto 1 cuando el puerto 2 está terminado en una carga adaptada a Z0?	<b>Verdadero (V)</b><br><br><i>Verdadero. S11 = b1 / a1 con a2 = 0.</i>
[ICAF] ¿El parámetro S21 cuantifica la ganancia o transmisión directa del puerto 1 al puerto 2?	<b>Verdadero (V)</b><br><br><i>Verdadero. |S21|^2 es la ganancia de potencia del transductor con puertos adaptados.</i>
[ICAF] ¿Un transistor de RF es incondicionalmente estable si el factor de Rollett cumple K > 1 y |Delta| < 1 simultáneamente?	<b>Verdadero (V)</b><br><br><i>Verdadero. No oscilará para cualquier impedancia pasiva conectada a la entrada y salida.</i>
[ICAF] Una bobina real de RF se comporta como un inductor ideal a cualquier frecuencia por elevada que sea.	<b>Falso (F)</b><br><br><i>Falso. Por encima de su frecuencia de autorresonancia (SRF) la capacidad parásita entre espiras domina y se vuelve capacitiva.</i>
[ICAF] ¿Un stub en cortocircuito de longitud eléctrica menor a un cuarto de onda (l < lambda/4) presenta una reactancia puramente inductiva?	<b>Verdadero (V)</b><br><br><i>Verdadero. Zin = j * Z0 * tan(beta * l) > 0.</i>
[ICAF] Un stub en circuito abierto de longitud lambda/4 se comporta como un circuito abierto en sus bornes.	<b>Falso (F)</b><br><br><i>Falso. Actúa como un cortocircuito perfecto (Zin = -j*Z0*cot(pi/2) = 0).</i>
[ICAF] ¿Las pérdidas de retorno (Return Loss) se definen como -20*log10(|S11|) y un valor alto indica una excelente adaptación?	<b>Verdadero (V)</b><br><br><i>Verdadero. Por ejemplo, RL > 20 dB significa que se refleja menos del 1% de la potencia incidente.</i>
[ICAF] ¿En una línea microstrip sobre PCB, la velocidad de propagación depende de la permitividad dieléctrica efectiva del sustrato?	<b>Verdadero (V)</b><br><br><i>Verdadero. El campo viaja parcialmente en el dieléctrico y parcialmente en el aire exterior (modo cuasi-TEM).</i>
[ICAF] ¿La Carta de Smith permite diseñar redes de adaptación en L agregando reactancias serie o susceptancias paralelo como desplazamientos por círculos?	<b>Verdadero (V)</b><br><br><i>Verdadero. Método gráfico canónico de diseño de microondas.</i>
[ICAF] El parámetro S12 representa la reflexión interna del puerto 2 hacia sí mismo.	<b>Falso (F)</b><br><br><i>Falso. S12 es el aislamiento o transmisión inversa del puerto 2 hacia el puerto 1.</i>
[ICAF] ¿Las pérdidas por inserción (Insertion Loss) representan la atenuación que sufre la señal al atravesar un cuadripolo?	<b>Verdadero (V)</b><br><br><i>Verdadero. IL = -20*log10(|S21|) dB.</i>
[ICAF] ¿En RF se prefieren los parámetros S frente a parámetros Z o Y porque son fáciles de medir sin necesidad de cortocircuitos o circuitos abiertos ideales en alta frecuencia?	<b>Verdadero (V)</b><br><br><i>Verdadero. Se miden con terminaciones de referencia estándar (50 ohms) sin provocar oscilaciones no deseadas.</i>
[TRS] ¿Los filtros FIR son intrínsecamente estables porque todas sus funciones de transferencia presentan únicamente polos en el origen z = 0?	<b>Verdadero (V)</b><br><br><i>Verdadero. Tienen un número finito de coeficientes en su respuesta impulsional.</i>
[TRS] ¿Los filtros FIR con simetría par o impar garantizan una fase rigurosamente lineal y retardo de grupo constante?	<b>Verdadero (V)</b><br><br><i>Verdadero. Preservan la forma de onda de las señales complejas sin dispersión de fase.</i>
[TRS] La transformación bilineal introduce una deformación o compresión de la escala de frecuencias (frequency warping) que exige un predistorsionado previo.	<b>Verdadero (V)</b><br><br><i>Verdadero. Omega = (2/Ts)*tan(omega/2); mapea todo el eje jOmega en la circunferencia unidad |z|=1.</i>
[TRS] ¿Cada bit adicional de resolución en un convertidor ADC cuantizado uniformemente incrementa la relación SQNR en aproximadamente 6.02 dB?	<b>Verdadero (V)</b><br><br><i>Verdadero. SQNR approx 6.02*B + 1.76 dB.</i>
[TRS] Un filtro IIR requiere siempre mayor número de coeficientes y operaciones que un filtro FIR para satisfacer las mismas especificaciones de atenuación.	<b>Falso (F)</b><br><br><i>Falso. Los filtros IIR aprovechan polos y ceros, requiriendo un orden mucho menor que los FIR equivalentes.</i>
[TRS] ¿El diezmado por un factor M consiste en un filtrado antialiasing pasobajo previo seguido de la eliminación de M-1 de cada M muestras?	<b>Verdadero (V)</b><br><br><i>Verdadero. El prefiltrado evita el solapamiento espectral.</i>
[TRS] ¿La interpolación por un factor L inserta L-1 ceros entre muestras consecutivas seguida de un filtro pasobajo de anti-imagen?	<b>Verdadero (V)</b><br><br><i>Verdadero. Elimina las réplicas espectrales intermedias restaurando la señal en la nueva frecuencia de muestreo L*fs.</i>
[TRS] El algoritmo LMS adaptativo minimiza el error cuadrático medio actualizando los pesos en la dirección del gradiente instantáneo.	<b>Verdadero (V)</b><br><br><i>Verdadero. w[n+1] = w[n] + 2*mu*e[n]*x[n].</i>
[TRS] ¿El método del periodograma de Welch divide la señal en segmentos solapados enventanados y promedia sus periodogramas para reducir la varianza de la estimación espectral?	<b>Verdadero (V)</b><br><br><i>Verdadero. Reduce el ruido y la varianza espectral a costa de una pequeña merma en resolución frecuencial.</i>
[TRS] Los filtros Butterworth se caracterizan por presentar un rizado equiripple en la banda de paso y de corte.	<b>Falso (F)</b><br><br><i>Falso. Los Butterworth son de máxima planicidad (maximally flat) sin ningún rizado. El rizado equiripple es característico de Chebyshev y Cauer/Elípticos.</i>
[TRS] ¿La estructura de filtrado polifase permite trasladar los filtros digitales a la frecuencia de muestreo más baja optimizando el número de operaciones por segundo?	<b>Verdadero (V)</b><br><br><i>Verdadero. Fundamento de los bancos de filtros eficientes en telecomunicaciones.</i>
[TRS] ¿El desbordamiento en aritmética de punto fijo en complementario a dos sin saturación puede originar ciclos límite de gran amplitud?	<b>Verdadero (V)</b><br><br><i>Verdadero. Las oscilaciones por wrap-around provocan inestabilidad si no se incluye lógica de saturación.</i>
[EP] ¿Un proyecto de ingeniería de inversión se considera económicamente viable según el criterio del VAN si su VAN > 0 a la tasa de descuento fijada?	<b>Verdadero (V)</b><br><br><i>Verdadero. Genera valor añadido neto por encima del coste de oportunidad del capital.</i>
[EP] ¿La Tasa Interna de Retorno (TIR) es la tasa de actualización que hace exactamente cero el Valor Actual Neto (VAN = 0)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Rentabilidad intrínseca del flujo de caja del proyecto.</i>
[EP] En la gestión de proyectos por el camino crítico (CPM), las actividades que forman parte del camino crítico tienen holgura total positiva y holgada.	<b>Falso (F)</b><br><br><i>Falso. Tienen holgura total nula (holgura = 0); cualquier retraso en ellas demora la fecha final de entrega del proyecto.</i>
[EP] ¿En el método del Valor Ganado (EVM), un CPI > 1 indica que el proyecto está gastando menos presupuesto de lo previsto para el trabajo realizado?	<b>Verdadero (V)</b><br><br><i>Verdadero. CPI = EV / AC > 1 representa eficiencia de costes.</i>
[EP] ¿El umbral de rentabilidad o punto muerto representa el volumen de ventas en el que los ingresos totales igualan a los costes totales (beneficio cero)?	<b>Verdadero (V)</b><br><br><i>Verdadero. A partir de esa cantidad la empresa empieza a obtener beneficios netos.</i>
[EP] Una patente de invención concede un derecho exclusivo de explotación industrial y comercial por tiempo ilimitado para siempre.	<b>Falso (F)</b><br><br><i>Falso. Concede un monopolio temporal limitado generalmente a 20 años desde la fecha de solicitud.</i>
[EP] ¿La estructura de desglose del trabajo (WBS/EDT) organiza y descompone jerárquicamente el alcance completo del proyecto en paquetes de trabajo?	<b>Verdadero (V)</b><br><br><i>Verdadero. Base fundamental para planificar costes, recursos y plazos.</i>
[EP] ¿El balance de situación refleja el patrimonio de la empresa en un instante temporal dividido en Activo, Pasivo y Patrimonio Neto?	<b>Verdadero (V)</b><br><br><i>Verdadero. Activo = Pasivo + Patrimonio Neto.</i>
[EP] ¿En la gestión ágil Scrum, el Product Backlog priorizado es responsabilidad principal del Product Owner?	<b>Verdadero (V)</b><br><br><i>Verdadero. Define qué funcionalidades aportan mayor valor de negocio al cliente.</i>
[EP] El periodo de recuperación o payback simple tiene en cuenta el valor temporal del dinero a lo largo de los años futuros.	<b>Falso (F)</b><br><br><i>Falso. El payback simple no descuenta los flujos futuros; para tenerlo en cuenta debe emplearse el payback descontado.</i>
[EP] ¿La matriz DAFO (SWOT) evalúa los factores internos (Debilidades, Fortalezas) y los factores externos (Amenazas, Oportunidades) de una organización?	<b>Verdadero (V)</b><br><br><i>Verdadero. Herramienta clásica de diagnóstico estratégico empresarial.</i>
[EP] ¿El ciclo de vida de un producto tecnológico suele describirse en cuatro fases: introducción, crecimiento, madurez y declive?	<b>Verdadero (V)</b><br><br><i>Verdadero. Modelo clásico del ciclo de vida industrial.</i>
[SM] ¿El amplificador de instrumentación clásico de 3 operacionales permite fijar la ganancia diferencial total mediante una única resistencia externa Rg?	<b>Verdadero (V)</b><br><br><i>Verdadero. Ad = (1 + 2*R1/Rg) * (R3/R2).</i>
[SM] ¿El factor de galga (Gauge Factor GF) de una galga extensométrica metálica convencional ronda un valor cercano a 2.0?	<b>Verdadero (V)</b><br><br><i>Verdadero. Relaciona la variación relativa de resistencia con la deformación mecánica unitaria.</i>
[SM] La resistencia de un sensor PT100 a 0 grados Celsius es de 1000 ohms.	<b>Falso (F)</b><br><br><i>Falso. A 0 grados Celsius es exactamente 100 ohms (de ahí la denominación PT100; el de 1000 ohms es el PT1000).</i>
[SM] ¿En un termopar, la tensión termoeléctrica de Seebeck se produce debido a la diferencia de temperatura entre la unión de medida y la unión de referencia?	<b>Verdadero (V)</b><br><br><i>Verdadero. Requiere compensación electrónica de unión fría.</i>
[SM] ¿Un termistor NTC (Negative Temperature Coefficient) disminuye su resistencia eléctrica al aumentar la temperatura?	<b>Verdadero (V)</b><br><br><i>Verdadero. Comportamiento semiconductor característico frente a los metales (PTC).</i>
[SM] La conexión a 2 hilos para una sonda RTD PT100 elimina completamente el error introducido por la resistencia de los cables de conexión lejanos.	<b>Falso (F)</b><br><br><i>Falso. La conexión a 2 hilos suma la resistencia del cable; para anularla se requiere conexión a 3 o 4 hilos (Kelvin).</i>
